[['Small Matters 音乐录像故事', ['9.4'], '香港', '剧情', 'https://movie.douban.com/subject/2295463/', 'https://img1.doubanio.com/view/subject/l/public/s2752638.jpg']]
[['背靠背，脸对脸', ['9.3'], '香港', '剧情', 'https://movie.douban.com/subject/1307856/', 'https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2512625908.jpg']]
[['帝女花', ['9.3'], '香港', '剧情', 'https://movie.douban.com/subject/1918697/', 'https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2324412917.jpg']]
[['大话西游之大圣娶亲', ['9.2'], '香港', '剧情', 'https://movie.douban.com/subject/1292213/', 'https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2455050536.jpg']]
[['活着', ['9.1'], '香港', '剧情', 'https://movie.douban.com/subject/1292365/', 'https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2513253791.jpg']]
[['南海十三郎', ['9.1'], '香港', '剧情', 'https://movie.douban.com/subject/1303913/', 'https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2328424489.jpg']]
[['幸福的旁边', ['9.1'], '香港', '剧情', 'https://movie.douban.com/subject/26879897/', 'https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2503447611.jpg']]
[['无间道', ['9.0'], '香港', '剧情', 'https://movie.douban.com/subject/1307914/', 'https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2233971046.jpg']]
[['上海滩', ['9.0'], '香港', '剧情', 'https://movie.douban.com/subject/6311260/', 'https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2344833803.jpg']]
[['霹雳兵燹', ['9.3'], '台湾', '剧情', 'https://movie.douban.com/subject/1920838/', 'https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1492646738.jpg']]
[['时之繁花', ['9.3'], '台湾', '剧情', 'https://movie.douban.com/subject/25774028/', 'https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2216519411.jpg']]
[['冲天', ['9.2'], '台湾', '剧情', 'https://movie.douban.com/subject/26602234/', 'https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2279974285.jpg']]
[['饮食男女', ['9.1'], '台湾', '剧情', 'https://movie.douban.com/subject/1291818/', 'https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910899751.jpg']]
[['少年派的奇幻漂流', ['9.0'], '台湾', '剧情', 'https://movie.douban.com/subject/1929463/', 'https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1784592701.jpg']]
[['长假', ['9.0'], '台湾', '剧情', 'https://movie.douban.com/subject/3098844/', 'https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2153135246.jpg']]
[['牡丹亭', ['9.4'], '大陆', '爱情', 'https://movie.douban.com/subject/4731050/', 'https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2365538258.jpg']]
[['狐妖小红娘剧场版：王权富贵', ['9.2'], '大陆', '爱情', 'https://movie.douban.com/subject/26946612/', 'https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2409467410.jpg']]
[['狐妖小红娘剧场版：月红篇', ['9.2'], '大陆', '爱情', 'https://movie.douban.com/subject/26972694/', 'https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2427045524.jpg']]
[['红楼梦', ['9.1'], '大陆', '爱情', 'https://movie.douban.com/subject/1329969/', 'https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2322451692.jpg']]
[['花为媒', ['9.1'], '大陆', '爱情', 'https://movie.douban.com/subject/2357317/', 'https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2173058450.jpg']]
[['金花路5号', ['9.1'], '大陆', '爱情', 'https://movie.douban.com/subject/2282452/', 'https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1961367162.jpg']]
[['芙蓉镇', ['9.0'], '大陆', '爱情', 'https://movie.douban.com/subject/1297880/', 'https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2184544013.jpg']]
[['绝不松开我的拳头', ['9.0'], '大陆', '爱情', 'https://movie.douban.com/subject/26199883/', 'https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2207905589.jpg']]
[['控方证人', ['9.6'], '美国', '爱情', 'https://movie.douban.com/subject/1296141/', 'https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1505392928.jpg']]
[['威尔和格蕾丝 告别秀', ['9.6'], '美国', '爱情', 'https://movie.douban.com/subject/2263259/', 'https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2408281629.jpg']]
[['迈克尔·杰克逊：音乐历史专辑全集', ['9.6'], '美国', '爱情', 'https://movie.douban.com/subject/2122919/', 'https://img3.doubanio.com/view/subject/l/public/s2541232.jpg']]
[['迈克尔·杰克逊：专辑历史记录第二辑', ['9.6'], '美国', '爱情', 'https://movie.douban.com/subject/1857382/', 'https://img1.doubanio.com/view/subject/l/public/s4145497.jpg']]
[['NBA黄金50周年纪念特辑', ['9.6'], '美国', '爱情', 'https://movie.douban.com/subject/3145883/', 'https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2381286642.jpg']]
[['天使在美国第二部：重建', ['9.6'], '美国', '爱情', 'https://movie.douban.com/subject/27045950/', 'https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2474462430.jpg']]
[['阿甘正传', ['9.4'], '美国', '爱情', 'https://movie.douban.com/subject/1292720/', 'https://img1.doubanio.com/view/photo/s_ratio_poster/public/p510876377.jpg']]
[['福尔摩斯二世', ['9.4'], '美国', '爱情', 'https://movie.douban.com/subject/1303408/', 'https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2206737207.jpg']]
[['天使在美国第一部：千禧年降临', ['9.4'], '美国', '爱情', 'https://movie.douban.com/subject/27021257/', 'https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2455727120.jpg']]
[['snorks', ['9.4'], '美国', '爱情', 'https://movie.douban.com/subject/1863428/', 'https://img3.doubanio.com/view/subject/l/public/s1796635.jpg']]
[['盗梦空间', ['9.3'], '美国', '爱情', 'https://movie.douban.com/subject/3541415/', 'https://img3.doubanio.com/view/photo/s_ratio_poster/public/p513344864.jpg']]
[['机器人总动员', ['9.3'], '美国', '爱情', 'https://movie.douban.com/subject/2131459/', 'https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1461851991.jpg']]
[['AFI终身成就奖：向梅丽尔·斯特里普致敬', ['9.3'], '美国', '爱情', 'https://movie.douban.com/subject/5217322/', 'https://img1.doubanio.com/view/subject/l/public/s4475928.jpg']]
[['泰坦尼克号', ['9.2'], '美国', '爱情', 'https://movie.douban.com/subject/1292722/', 'https://img3.doubanio.com/view/photo/s_ratio_poster/public/p457760035.jpg']]
[['海上钢琴师', ['9.2'], '美国', '爱情', 'https://movie.douban.com/subject/1292001/', 'https://img1.doubanio.com/view/photo/s_ratio_poster/public/p511146807.jpg']]
[['疯狂动物城', ['9.2'], '美国', '爱情', 'https://movie.douban.com/subject/25662329/', 'https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2315672647.jpg']]
[['乱世佳人', ['9.2'], '美国', '爱情', 'https://movie.douban.com/subject/1300267/', 'https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1963126880.jpg']]
[['摩登时代', ['9.2'], '美国', '爱情', 'https://movie.douban.com/subject/1294371/', 'https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2173707976.jpg']]
[['城市之光', ['9.2'], '美国', '爱情', 'https://movie.douban.com/subject/1293908/', 'https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2099815842.jpg']]
[['生活多美好', ['9.2'], '美国', '爱情', 'https://movie.douban.com/subject/1293749/', 'https://img1.doubanio.com/view/photo/s_ratio_poster/public/p771490367.jpg']]
[['霸王别姬', ['9.5'], '香港', '爱情', 'https://movie.douban.com/subject/1291546/', 'https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910813120.jpg']]
[['蝶影红梨记', ['9.4'], '香港', '爱情', 'https://movie.douban.com/subject/4047730/', 'https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2388820490.jpg']]
[['紫钗记', ['9.3'], '香港', '爱情', 'https://movie.douban.com/subject/1401219/', 'https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2274298717.jpg']]
[['大话西游之大圣娶亲', ['9.2'], '香港', '爱情', 'https://movie.douban.com/subject/1292213/', 'https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2455050536.jpg']]
[['南海十三郎', ['9.1'], '香港', '爱情', 'https://movie.douban.com/subject/1303913/', 'https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2328424489.jpg']]
[['幸福的旁边', ['9.1'], '香港', '爱情', 'https://movie.douban.com/subject/26879897/', 'https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2503447611.jpg']]
[['上海滩', ['9.0'], '香港', '爱情', 'https://movie.douban.com/subject/6311260/', 'https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2344833803.jpg']]
[['莫文蔚: 好莫文蔚巡迴演唱會', ['9.5'], '台湾', '爱情', 'https://movie.douban.com/subject/4314336/', 'https://img3.doubanio.com/view/subject/l/public/s4199506.jpg']]
[['冲天', ['9.2'], '台湾', '爱情', 'https://movie.douban.com/subject/26602234/', 'https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2279974285.jpg']]
[['饮食男女', ['9.1'], '台湾', '爱情', 'https://movie.douban.com/subject/1291818/', 'https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910899751.jpg']]
[['鬼子来了', ['9.2'], '大陆', '喜剧', 'https://movie.douban.com/subject/1291858/', 'https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1181775734.jpg']]
[['狐妖小红娘剧场版：王权富贵', ['9.2'], '大陆', '喜剧', 'https://movie.douban.com/subject/26946612/', 'https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2409467410.jpg']]
[['齐天乐', ['9.3'], '大陆', '喜剧', 'https://movie.douban.com/subject/11498192/', 'https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2515927004.jpg']]
[['花为媒', ['9.1'], '大陆', '喜剧', 'https://movie.douban.com/subject/2357317/', 'https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2173058450.jpg']]
